"","Type","Author","Year","Title","Country","Region","Region2","Species.1","Species.2","Species.3","Species.4","Species.5","Species.6","Subthreat.1a","Subthreat.1b","Subthreat.1c","Subthreat.2a","Subthreat.2b","Subthreat.3a","Subthreat.3b","Subthreat.4","Subthreat.5","Threat.1","Threat.2","Threat.3","Threat.4","Threat.5"
"547","Journal Article","M. T. Cabria; J. R. Michaux; B. J. Gomez-Moliner; D. Skumatov; T. Maran; P. Fournier; J. L. de Luzuriaga; R. Zardoya",2011,"Bayesian analysis of hybridization and introgression between the endangered european mink (Mustela lutreola) and the polecat (Mustela putorius)","Europe","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Introduced genetic material","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"548","Journal Article","K. Kauhala; R. Kowalczyk",2011,"Invasion of the raccoon dog Nyctereutes procyonoides in Europe: History of colonization, features behind its success, and threats to native fauna","Europe","Europe & Central Asia","Europe & Central Asia","Mustela putorius","Meles meles","Martes martes","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"549","Journal Article","L. A. Nituch; J. Bowman; K. B. Beauclerc; A. I. Schulte-Hostedde",2011,"Mink Farms Predict Aleutian Disease Exposure in Wild American Mink","USA / Canada","North America","North America","Neovison vison","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"550","Journal Article","T. Goldstein; V. A. Gill; P. Tuomi; D. Monson; A. Burdin; P. A. Conrad; J. L. Dunn; C. Field; C. Johnson; D. A. Jessup; J. Bodkin; A. M. Doroff",2011,"ASSESSMENT OF CLINICAL PATHOLOGY AND PATHOGEN EXPOSURE IN SEA OTTERS (ENHYDRA LUTRIS) BORDERING THE THREATENED POPULATION IN ALASKA","USA / Russia","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"551","Journal Article","J. C. Mangel; T. Whitty; G. Medina-Vogel; J. Alfaro-Shigueto; C. Caceres; B. J. Godley",2011,"Latitudinal variation in diet and patterns of human interaction in the marine otter","South America","Latin America & Caribbean","Latin America","Lontra felina","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"552","Journal Article","P. Tavernier; K. Baert; M. van de Bildt; T. Kuiken; A. Cay; S. Maes; S. Roels; J. Gouwy; K. Van den Berge",2012,"A distemper outbreak in beech martens (Martes foina) in Flanders","Belgium","Europe & Central Asia","Europe & Central Asia","Martes foina","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"553","Journal Article","R. C. Abbott; J. E. Osorio; C. M. Bunck; T. E. Rocke",2012,"Sylvatic Plague Vaccine: A New Tool for Conservation of Threatened and Endangered Species?","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"554","Journal Article","Y. Melero; M. Plaza; G. Santulli; D. Saavedra; J. Gosalbez; J. Ruiz-Olmo; S. Palazon",2012,"Evaluating the effect of American mink, an alien invasive species, on the abundance of a native community: is coexistence possible?","Spain","Europe & Central Asia","Europe & Central Asia","Mustela putorius","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"555","Journal Article","C. M. Gherman; A. D. Sandor; Z. Kalmar; M. Marinov; A. D. Mihalca",2012,"First report of Borrelia burgdorferi sensu lato in two threatened carnivores: the Marbled polecat, Vormela peregusna and the European mink, Mustela lutreola (Mammalia: Mustelidae)","Europe","Europe & Central Asia","Europe & Central Asia","Vormela peregusna","Mustela lutreola","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"556","Journal Article","J. R. R. Fernandez; N. J. Thomas; R. R. Dubielzig; R. Drees",2012,"Osteosarcoma of the Maxilla with Concurrent Osteoma in a Southern Sea Otter (Enhydra lutris nereis)","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"557","Journal Article","M. Podra; A. Gomez; S. Palazon",2013,"Do American mink kill European mink? Cautionary message for future recovery efforts","Spain","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"558","Journal Article","C. J. Brand",2013,"Wildlife Mortality Investigation and Disease Research: Contributions of the USGS National Wildlife Health Center to Endangered Species Management and Recovery","USA","North America","North America","Mustela nigripes","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"559","Journal Article","C. L. White; K. L. Schuler; N. J. Thomas; J. L. Webb; J. T. Saliki; H. S. Ip; J. P. Dubey; E. R. Frame",2013,"PATHOGEN EXPOSURE AND BLOOD CHEMISTRY IN THE WASHINGTON, USA POPULATION OF NORTHERN SEA OTTERS (ENHYDRA LUTRIS KENYONI)","USA","North America","North America","Enhydra lutris","","","","","","Industrial & military effluents","","","","","","","","","Pollution","","","",""
"560","Journal Article","J. Megid; C. R. Teixeira; A. Cortez; M. B. Heinemann; J. Antunes; F. Fornazari; F. B. Rassy; L. J. Richtzenhain",2013,"Canine distemper virus infection in a lesser grison (Galictis cuja): first report and virus phylogeny","Brazil","Latin America & Caribbean","Latin America","Galictis cuja","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"561","Journal Article","E. A. Chadwick; J. Cable; A. Chinchen; J. Francis; E. Guy; E. F. Kean; S. C. Paul; S. E. Perkins; E. Sherrard-Smith; C. Wilkinson; D. W. Forman",2013,"Seroprevalence of Toxoplasma gondii in the Eurasian otter (Lutra lutra) in England and Wales","United Kingdom","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"562","Journal Article","G. Santulli; S. Palazon; Y. Melero; J. Gosalbez; X. Lambin",2014,"Multi-season occupancy analysis reveals large scale competitive exclusion of the critically endangered European mink by the invasive non-native American mink in Spain","Spain","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"563","Journal Article","S. E. Carrasco; B. B. Chomel; V. A. Gill; A. M. Doroff; M. A. Miller; K. A. Burek-Huntington; R. W. Kasten; B. A. Byrne; T. Goldstein; J. A. K. Mazet",2014,"Bartonella spp. Exposure in Northern and Southern Sea Otters in Alaska and California","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"564","Journal Article","S. E. Carrasco; B. B. Chomel; V. A. Gill; R. W. Kasten; R. G. Maggi; E. B. Breitschwerdt; B. A. Byrne; K. A. Burek-Huntington; M. A. Miller; T. Goldstein; J. A. K. Mazet",2014,"Novel Bartonella infection in northern and southern sea otters (Enhydra lutris kenyoni and Enhydra lutris nereis)","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"565","Journal Article","D. A. Poo-Munoz; L. E. Escobar; A. T. Peterson; F. Astorga; J. F. Organ; G. Medina-Vogel",2014,"Galictis cuja (Mammalia): An update of current knowledge and geographic distribution","South America","Latin America & Caribbean","Latin America","Galictis cuja","","","","","","","Invasive non-native/alien species/diseases","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"566","Journal Article","J. N. Niemuth; C. W. Sanders; C. B. Mooney; C. Olfenbuttel; C. S. DePerno; M. K. Stoskopf",2014,"NEPHROLITHIASIS IN FREE-RANGING NORTH AMERICAN RIVEROTTER (LONTRA CANADENSIS) IN NORTH CAROLINA, USA","USA","North America","North America","Lontra canadensis","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"567","Journal Article","S. T. Peper; R. L. Peper; G. V. Kollias; R. P. Brooks; S. S. Stevens; T. L. Serfass",2014,"EFFICACY OF TWO CANINE DISTEMPER VACCINES IN WILD NEARCTIC RIVER OTTERS (LONTRA CANADENSIS)","USA","North America","North America","Lontra canadensis","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"568","Journal Article","M. A. Sepulveda; R. S. Singer; E. A. Silva-Rodriguez; A. Eguren; P. Stowhas; K. Pelican",2014,"Invasive American Mink: Linking Pathogen Risk Between Domestic and Endangered Carnivores","Chile","Latin America & Caribbean","Latin America","Lontra provocax","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"569","Journal Article","D. Malatesta; V. R. Simpson; R. Fusillo; M. Marcelli; L. Bongiovanni; M. Romanucci; C. Palmieri; L. Della Salda",2014,"First description of adiaspiromycosis in an Eurasian otter (Lutra lutra) in Italy","Italy","Europe & Central Asia","Europe & Central Asia","Lutra lutra","","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"570","Journal Article","R. Barrientos",2015,"Adult sex-ratio distortion in the native European polecat is related to the expansion of the invasive American mink","Europe","Europe & Central Asia","Europe & Central Asia","Mustela putorius","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"571","Journal Article","T. F. F. Ng; M. A. Miller; N. O. Kondov; E. M. Dodd; F. Batac; M. Manzer; S. Ives; J. T. Saliki; X. T. Deng; E. Delwart",2015,"ORAL PAPILLOMATOSIS CAUSED BY ENHYDRA LUTRIS PAPILLOMAVIRUS 1 (EIPV-1) IN SOUTHERN SEA OTTERS (ENHYDRA LUTRIS NEREIS) IN CALIFORNIA, USA","USA","North America","North America","Enhydra lutris","","","","","","Viral/prion-induced diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"572","Journal Article","Y. Rico; J. Morris-Pocock; J. Zigouris; J. J. Nocera; C. J. Kyle",2015,"Lack of Spatial Immunogenetic Structure among Wolverine (Gulo gulo) Populations Suggestive of Broad Scale Balancing Selection","Canada","North America","North America","Gulo gulo","","","","","","Other ","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"573","Journal Article","S. Manas; A. Gomez; V. Asensio; S. Palazon; M. Podra; O. E. Alarcia; J. Ruiz-Olmo; J. Casal",2016,"PREVALENCE OF ANTIBODY TO ALEUTIAN MINK DISEASE VIRUS IN EUROPEAN MINK (MUSTELA LUTREOLA) AND AMERICAN MINK (NEOVISON VISON) IN SPAIN","Spain","Europe & Central Asia","Europe & Central Asia","Mustela lutreola","","","","","","Invasive non-native/alien species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
"574","Journal Article","M. Alvarado-Rybak; L. Solano-Gallego; J. Millan",2016,"A review of piroplasmid infections in wild carnivores worldwide: importance for domestic animal health and wildlife conservation","Europe","Europe & Central Asia","Europe & Central Asia","Martes foina","Meles meles","","","","","Problematic native species/diseases","","","","","","","","","Invasive & other problematic species, genes & diseases","","","",""
